timestamp,cpu_usage,ram_usage,disk_usage,process_count,new_processes,terminated_processes,login_success,login_failed,logoff_events,file_created,file_modified,file_deleted,file_renamed
2026-09-22T10:23:44.643540,10.9,90.4,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T10:23:50.078266,22.3,90.5,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T10:23:55.363503,22.3,90.5,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T10:24:00.780646,29.5,90.9,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T10:24:06.103421,15.7,91.0,55.9,248,0,1,0,0,0,0,0,0,0
2026-09-22T10:24:11.405983,19.9,91.0,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T10:24:16.781771,18.6,92.3,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T10:24:22.169777,18.6,92.3,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T10:24:27.500649,38.1,88.5,55.9,246,0,2,0,0,0,0,0,0,0
2026-09-22T10:24:32.836115,23.7,89.5,55.9,246,0,0,0,0,0,0,0,0,0
2026-09-22T10:24:38.577377,17.6,89.6,55.9,246,1,0,0,0,0,0,0,0,0
2026-09-22T10:24:43.858795,17.6,89.6,55.9,246,0,1,0,0,0,0,0,0,0
2026-09-22T10:24:49.205205,30.5,89.8,55.9,246,0,0,0,0,0,0,0,0,0
2026-09-22T10:24:55.012150,36.2,90.0,55.9,246,0,0,0,0,0,0,0,0,0
2026-09-22T10:25:00.738162,20.5,89.9,55.9,246,0,0,0,0,0,0,0,0,0
2026-09-22T10:25:07.142325,12.2,90.0,55.9,246,0,1,0,0,0,0,0,0,0
2026-09-22T10:25:12.475351,29.7,82.1,55.9,246,0,0,0,0,0,0,0,0,0
2026-09-22T10:25:17.963734,29.7,82.1,55.9,246,0,0,0,0,0,0,0,0,0
2026-09-22T10:25:23.328817,41.4,82.6,55.9,246,0,0,0,0,0,0,0,0,0
2026-09-22T10:25:28.633559,34.8,86.0,55.9,246,0,0,0,0,0,0,0,0,0
2026-09-22T10:25:34.001844,15.6,85.5,55.9,246,0,1,0,0,0,0,0,0,0
2026-09-22T10:25:39.318796,27.7,84.8,55.9,246,0,0,0,0,0,0,0,0,0
2026-09-22T10:25:44.633354,27.7,84.8,55.9,246,0,0,0,0,0,0,0,0,0
2026-09-22T10:25:49.999536,39.9,86.2,55.9,249,1,0,0,0,0,0,0,0,0
2026-09-22T10:25:55.468261,65.0,88.7,55.9,251,3,1,0,0,0,0,0,0,0
2026-09-22T10:26:00.928465,29.9,89.8,55.9,251,0,0,0,0,0,0,0,0,0
2026-09-22T10:26:06.249812,29.9,89.8,55.9,251,0,1,0,0,0,0,0,0,0
2026-09-22T10:26:11.625643,12.8,90.2,55.9,251,1,1,0,0,0,0,0,0,0
2026-09-22T10:26:17.260821,28.1,90.5,55.9,252,0,0,0,0,0,0,0,0,0
2026-09-22T10:26:22.715529,30.8,89.0,55.9,254,1,1,0,0,0,0,0,0,0
2026-09-22T10:26:28.972358,30.8,89.0,55.9,254,0,0,0,0,0,0,0,0,0
2026-09-22T10:26:35.557162,99.7,91.5,55.9,251,0,3,0,0,0,0,0,0,0
2026-09-22T10:26:40.869922,36.2,90.7,55.9,249,0,3,0,0,0,0,0,0,0
2026-09-22T10:26:46.383739,50.8,90.9,55.9,250,1,0,0,0,0,0,0,0,0
2026-09-22T10:26:52.597393,21.4,88.0,55.9,249,0,1,0,0,0,0,0,0,0
2026-09-22T10:26:58.033075,20.2,91.0,55.9,249,0,0,0,0,0,0,0,0,0
2026-09-22T10:27:03.593964,20.2,91.0,55.9,249,0,0,0,0,0,0,0,0,0
2026-09-22T10:27:08.898662,80.3,92.7,55.9,250,0,1,1,0,0,0,0,0,0
2026-09-22T10:27:14.255562,28.9,91.8,55.9,249,0,1,0,0,0,0,0,0,0
2026-09-22T10:27:19.582127,17.4,92.2,55.9,249,0,0,0,0,0,0,0,0,0
2026-09-22T10:27:25.075089,17.4,92.2,55.9,249,0,0,0,0,0,0,0,0,0
2026-09-22T10:27:30.653131,19.1,92.3,55.9,248,0,1,0,0,0,0,0,0,0
2026-09-22T10:27:35.949943,18.9,91.8,55.9,247,0,1,0,0,0,0,0,0,0
2026-09-22T10:27:41.277127,28.7,92.2,55.9,248,1,0,0,0,0,0,0,0,0
2026-09-22T10:27:46.597313,11.7,92.3,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T10:27:52.139974,11.7,92.3,55.9,248,0,0,0,0,0,0,0,0,0
2026-09-22T10:27:57.480357,29.1,92.3,55.9,248,1,1,1,0,0,0,0,0,0
2026-09-22T10:28:03.190476,95.7,93.0,55.9,251,1,0,0,0,0,0,0,0,0
2026-09-22T10:28:09.636086,95.7,93.0,55.9,251,0,0,2,0,0,0,0,0,0
2026-09-22T10:28:16.188121,100.0,93.1,55.9,256,3,1,0,0,0,0,0,0,0
2026-09-22T10:28:21.602147,52.1,92.5,55.9,254,0,3,0,0,0,0,0,0,0
2026-09-22T10:28:27.089973,55.8,93.0,55.9,255,1,0,0,0,0,0,0,0,0
2026-09-22T10:28:32.941354,75.6,92.9,55.9,257,1,0,0,0,0,0,0,0,0
2026-09-22T10:28:38.338585,75.6,92.9,55.9,257,2,2,2,0,0,0,0,0,0
2026-09-22T10:28:43.642428,17.1,92.4,55.9,260,1,0,0,0,0,0,0,0,0
2026-09-22T10:28:49.195357,33.2,89.2,55.9,259,0,1,0,0,0,0,0,0,0
2026-09-22T10:28:54.524494,12.1,89.3,55.9,257,0,2,0,0,0,0,0,0,0
2026-09-22T10:29:00.264518,12.1,89.3,55.9,257,0,0,0,0,0,0,0,0,0
2026-09-22T10:29:06.188662,63.2,90.0,55.9,256,0,2,0,0,0,0,0,0,0
2026-09-22T10:29:11.508723,39.8,91.3,55.9,257,0,0,0,0,0,0,0,0,0
2026-09-22T10:29:16.864875,8.2,91.5,55.9,257,1,1,0,0,0,0,0,0,0
